initial state: ##.###.......#..#.##..#####...#...#######....##.##.##.##..#.#.##########...##.##..##.##...####..####



#.#.# => #

.##.. => .

#.#.. => .

..### => #

.#..# => #

..#.. => .

####. => #

###.. => #

#.... => .

.#.#. => #

....# => .

#...# => #

..#.# => #

#..#. => #

.#... => #

##..# => .

##... => .

#..## => .

.#.## => #

.##.# => .

#.##. => #

.#### => .

.###. => .

..##. => .

##.#. => .

...## => #

...#. => .

..... => .

##.## => .

###.# => #

##### => #

#.### => .
